ID,phylum,class,order,family,genus,species,28S,Berry_16S,CO1,MiFish_E,MiFish_U,Riaz_12S
Zotu25,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,0,0,0,1,0,0
Zotu254,Chordata,Tetraodontiformes,Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines sandwichiensis,0,0,0,1,0,0
Zotu256,Chordata,Tetraodontiformes,Tetraodontiformes,Ostraciidae,Lactoria,Lactoria fornasini,0,0,0,1,1,1
Zotu31,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Ctenochaetus,,0,0,0,1,1,0
Zotu68,Chordata,Carangiformes,Carangiformes,Carangidae,Decapterus,,0,0,0,1,1,0
Zotu98,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Chaetodon,,1,0,0,1,1,1
Zotu110,Chordata,Clupeiformes,Clupeiformes,Clupeidae,Brevoortia,,0,0,0,0,1,0
Zotu187,Chordata,Perciformes,Perciformes,Serranidae,Plectropomus,Plectropomus laevis,0,0,0,0,1,1
Zotu205,Chordata,Salmoniformes,Salmoniformes,Salmonidae,Salmo,Salmo salar,0,0,0,0,1,0
Zotu218,Chordata,Scombriformes,Scombriformes,Scombridae,Auxis,Auxis thazard,0,0,0,0,1,0
Zotu23,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus dussumieri,0,0,0,0,1,0
Zotu255,Chordata,Tetraodontiformes,Tetraodontiformes,Monacanthidae,Pervagor,,0,0,0,0,1,0
Zotu34,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus tominiensis,0,0,0,0,1,0
Zotu42,Chordata,Acanthuriformes,Acanthuriformes,Zanclidae,Zanclus,Zanclus cornutus,0,0,0,0,1,0
Zotu92,Chordata,Centrarchiformes,Centrarchiformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus bimacula,0,0,0,0,1,1
Zotu138,Chordata,Gobiiformes,Gobiiformes,Gobiidae,,,1,0,0,0,0,0
Zotu148,Chordata,Holocentriformes,Holocentriformes,Holocentridae,,,1,0,0,0,0,1
Zotu158,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Sargocentron,Sargocentron tiere,1,0,0,0,0,0
Zotu172,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus gibbus,1,0,0,0,0,0
Zotu178,Chordata,Perciformes,Perciformes,,,,1,0,0,0,0,0
Zotu186,Chordata,Perciformes,Perciformes,Serranidae,Mycteroperca,,1,0,0,0,0,0
Zotu208,Chordata,Scombriformes,Scombriformes,,,,1,0,0,0,0,0
Zotu232,Chordata,Syngnathiformes,Syngnathiformes,Mullidae,,,1,0,0,0,0,0
Zotu236,Chordata,Syngnathiformes,Syngnathiformes,Mullidae,Parupeneus,,1,0,0,0,0,0
Zotu245,Chordata,Tetraodontiformes,Tetraodontiformes,Balistidae,Xanthichthys,Xanthichthys mento,1,0,0,0,0,0
Zotu248,Chordata,Tetraodontiformes,Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,1,0,0,0,0,0
Zotu250,Chordata,Tetraodontiformes,Tetraodontiformes,Molidae,Mola,Mola mola,1,0,0,0,0,0
Zotu259,Chordata,Tetraodontiformes,Tetraodontiformes,Tetraodontidae,,,1,0,0,0,0,0
Zotu3,Chordata,Perciformes,Perciformes,Pomacanthidae,,,1,0,0,0,0,0
Zotu36,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Naso,Naso hexacanthus,1,0,0,0,0,0
Zotu51,Chordata,Beloniformes,Beloniformes,,,,1,0,0,0,0,0
Zotu54,Chordata,Beloniformes,Beloniformes,Exocoetidae,,,1,0,0,0,0,1
Zotu59,Chordata,Beloniformes,Beloniformes,Exocoetidae,Exocoetus,Exocoetus monocirrhus,1,0,0,0,0,0
Zotu7,Chordata,Perciformes,Perciformes,Pomacentridae,,,1,0,0,0,0,0
Zotu71,Chordata,Carangiformes,Carangiformes,Carangidae,Decapterus,Decapterus maruadsi,1,0,0,0,0,0
Zotu79,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,,,1,0,0,0,0,0
Zotu85,Chordata,Carcharhiniformes,Carcharhiniformes,Carcharhinidae,Sphyrna,Sphyrna zygaena,1,0,0,0,0,0
Zotu90,Chordata,Centrarchiformes,Centrarchiformes,,,,1,0,0,0,0,0
Zotu91,Chordata,Centrarchiformes,Centrarchiformes,Cirrhitidae,,,1,0,0,0,0,0
Zotu114,Chordata,Clupeiformes,Clupeiformes,Clupeidae,Herklotsichthys,Herklotsichthys quadrimaculatus,0,0,0,0,0,1
Zotu151,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Myripristis,Myripristis jacobus,0,0,0,0,0,1
Zotu211,Chordata,Scombriformes,Scombriformes,Nomeidae,Cubiceps,Cubiceps squamiceps,0,0,0,0,0,1
Zotu214,Chordata,Scombriformes,Scombriformes,Nomeidae,Psenes,Psenes cyanophrys,0,0,0,0,0,1
Zotu221,Chordata,Scombriformes,Scombriformes,Scombridae,Thunnus,,0,0,0,0,0,1
Zotu224,Chordata,Spariformes,Spariformes,Lethrinidae,Lethrinus,Lethrinus semicinctus,0,0,0,0,0,1
Zotu241,Chordata,Tetraodontiformes,Tetraodontiformes,Balistidae,,,0,0,0,0,0,1
Zotu257,Chordata,Tetraodontiformes,Tetraodontiformes,Ostraciidae,Ostracion,,0,0,0,0,0,1
Zotu29,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus triostegus,0,0,0,0,0,1
Zotu65,Chordata,Carangiformes,Carangiformes,Carangidae,,,0,0,0,0,0,1
Zotu70,Chordata,Carangiformes,Carangiformes,Carangidae,Decapterus,Decapterus macrosoma,0,0,0,0,0,1
